Title,Source title,Year,DOI,Cited by,term_loc
Program of movement activity for seniors; [Program aktywności fizycznej dla seniorów],Sport i Turystyka,2019,10.16926/sit.2019.02.40,0,abstract
An energy efficient clustering technique in WSNs,International Journal of Recent Technology and Engineering,2019,10.35940/ijrte.B1203.0982S1119,0,abstract
Population development trends in Russia and China in the 21st century,Population and Economics,2019,10.3897/popecon.3.e37961,3,abstract
"Postintroduction Study of Cost Effectiveness of Pneumococcal Vaccine PCV10 from Public Sector Payer's Perspective in the State of Santa Catarina, Brazil",Value in Health Regional Issues,2018,10.1016/j.vhri.2017.12.008,2,abstract
Assessing the determinants of retirement home ownership among Malaysian young-old seniors,International Journal of Housing Markets and Analysis,2018,10.1108/IJHMA-08-2017-0072,20,abstract
Demographic trends in Russian Arctic in the context of sustainable development; [Tendencias demográficas en el ártico ruso en el contexto del desarrollo sustentable],Espacios,2018,,1,abstract
Expected life expectancy and its in selected European countries,Transformations in Business and Economics,2017,,20,title
"Cost-Effectiveness of a Care Program for HIV/AIDS Patients Affiliated with a Health Insurer in Colombia, Comparing Three Health Care Providers Nationwide",Value in Health Regional Issues,2016,10.1016/j.vhri.2015.11.001,7,abstract
Service life prediction of high-performance concrete with respect to chloride ion penetration by incorporated with GGBS,International Journal of Recent Technology and Engineering,2019,,5,abstract
A bi-objective green home health care routing problem,Journal of Cleaner Production,2018,10.1016/j.jclepro.2018.07.258,144,abstract
Access to preventive health services of people with intellectual disability in Italy,Journal of Reviews on Global Economics,2018,10.6000/1929-7092.2018.07.05,12,abstract
A study of human development among Tea-Garden community in Dibrugarh District of Assam,International Journal of Scientific and Technology Research,2019,,1,author_kw
Quantitative assessment of the value of human life in russia and in the world,Finance: Theory and Practice,2018,10.26794/2587-5671-2018-22-4-52-75,12,abstract
The impact of OD intervention on high performing Teams in a hospital,Organization Development Journal,2018,,0,abstract
Excessive social inequality as a serious challenge to the demographic security of modern russia with considering the supply chain strategy effects,International Journal of Supply Chain Management,2019,,0,abstract
Spontaneous Dissection of the Coronary Vessels. Epidemiological and Coronary Angiographic Study,Materia Socio-Medica,2019,10.5455/msm.2019.31.177-180,0,abstract
Retention of old-aged human capital in the Thai automotive industry,International Journal of Learning and Intellectual Capital,2018,10.1504/IJLIC.2018.088349,4,abstract
Effects of harmonics on major equipments in power distribution network,International Journal of Scientific and Technology Research,2019,,3,author_kw
Do time trade-off values fully capture attitudes that are relevant to health-related choices?,European Journal of Health Economics,2019,10.1007/s10198-018-1017-8,5,INDEX_KW_ONLY
Weak sustainability is not sustainable: Socioeconomic and environmental assessment of Inner Mongolia for the past three decades,"Resources, Conservation and Recycling",2019,10.1016/j.resconrec.2018.10.032,73,abstract
Socio-economic contours of longevity societies,World Economy and International Relations,2017,10.20542/0131-2227-2017-61-5-34-44,2,abstract
Preserving cultural heritage: A new approach to increase the life expectancy of optical discs,Journal of Cultural Heritage,2018,10.1016/j.culher.2017.08.004,3,title
Raising the retirement age: the impact on the individual and actuarial balance for Chinese urban workers’ basic pensions,Economic and Political Studies,2016,10.1080/20954816.2016.1251135,2,abstract
"Military expenditures and health: a cross-national study, 1975-2000",International Journal of Sociology and Social Policy,2017,10.1108/IJSSP-01-2017-0004,10,abstract
Life expectancy at birth: The numbers behind the means,Tijdschrift voor Sociale en Economische Geschiedenis,2017,10.5334/tseg2017.2.zijd,2,title
Investments in fixed assets and human capital: Two interconnected drivers of socioeconomic growth,Studies on Russian Economic Development,2017,10.1134/S1075700717040025,15,abstract
The EU's regulatory commitment to a European harmonized Pension product (PEPP): The portability of pension rights vis-à-vis the free movement of capital,Journal of Financial Regulation,2019,10.1093/jfr/fjz005,2,abstract
Microfinance models in improving 'quality of life': Empirical analysis on Indian perspective,International Journal of Business Innovation and Research,2020,10.1504/IJBIR.2020.104031,11,abstract
Intergenerational inequalities in standards of living in France,Economie et Statistique,2017,10.24187/ecostat.2017.491d.1906,8,abstract
"Investigating the evocative link among wine consumption, human development index and geographical region",Studies in Agricultural Economics,2020,10.7896/j.2047,4,abstract
Understanding the sustainability potential of part consolidation design supported by additive manufacturing,Journal of Cleaner Production,2019,10.1016/j.jclepro.2019.05.380,96,abstract
Automated brain tumour detection in MRI images using threshold based FCM,International Journal of Scientific and Technology Research,2019,,6,abstract
Public policy and future mineral supplies,Resources Policy,2018,10.1016/j.resourpol.2018.01.006,81,abstract
The Long-run Relationship Between Trade and Population Health: Evidence from Five Decades,World Economy,2017,10.1111/twec.12419,35,abstract
Willingness-to-Pay for One Quality-Adjusted Life-Year: A Population-Based Study from Iran,Applied Health Economics and Health Policy,2018,10.1007/s40258-018-0424-4,21,INDEX_KW_ONLY
Methods of the assessment of economic losses caused by the mortality of the population employed in regional economy,Economy of Regions,2017,10.17059/2017-2-16,15,abstract
Avaliação do padrão de consumo de bens e serviços de saúde: Uma abordagem de equilíbrio geral computável para a economia Brasileira,Revista Brasileira de Economia,2017,10.5935/0034-7140.20170023,1,abstract
The effect of longevity risks on the performance of stock market,Investment Management and Financial Innovations,2017,10.21511/imfi.14(1-1).2017.03,1,abstract
Formulation strategies for aging consumers,Contract Pharma,2017,,0,INDEX_KW_ONLY
Evaluating the cost-effectiveness of afatinib after platinum-based therapy for the treatment of squamous non-small-cell lung cancer in France,ClinicoEconomics and Outcomes Research,2017,10.2147/CEOR.S136657,14,abstract
International and Russian experience in primary health care organization,Journal of Social Sciences Research,2018,10.32861/jssr.spi5.146.148,0,abstract
Actuarial evaluation of pension risks of Russia: From theory to practice,Economy of Regions,2017,10.17059/2017-3-7,2,abstract
"Development of electricity program, electrificaty ratio with human development index in west Java province, Indonesia",International Journal of Energy Economics and Policy,2018,,5,abstract
The Relationship between Internet Environment and Life Expectancy in Asia,Review of Integrative Business and Economics Research,2019,,11,title
Evaluation of environmental impacts of citric acid and glycerol outdoor softwood treatment: Case-study,Journal of Cleaner Production,2017,10.1016/j.jclepro.2017.06.125,8,abstract
Russian pension system in the context of demographic challenges and constraints,HSE Economic Journal,2017,,11,abstract
Oil exploration and exploitation in Nigeria and the challenge of sustainable development: An assessment of the Niger Delta,International Journal of Energy Economics and Policy,2019,10.32479/ijeep.7812,10,abstract
"Investment in Physical, Human Capital, Economic Growth and Life Expectancy in Bangladesh: An Empirical Investigation",South Asia Economic Journal,2018,10.1177/1391561418799110,19,title
Cost-effectiveness of culture-based versus empirical antibiotic treatment for hospitalized adults with community-acquired pneumonia in Indonesia: A real-world patient-database study,ClinicoEconomics and Outcomes Research,2019,10.2147/CEOR.S224619,9,abstract
Individual estimates of life expectancy and consumption patterns,Financial Services Review,2017,10.61190/fsr.v26i1.3293,0,title
Development of work flow to manage fatigue of bottomhole assemblies,Journal of Petroleum Technology,2017,10.2118/1217-0071-jpt,0,abstract
Sociocultural Factors of survival of males and females in economically active age: A regional analysis,Economy of Regions,2018,10.17059/2018-1-9,1,abstract
Evaluating the health costs of oral hexavalent chromium exposure from water pollution: A case study in Taiwan,Journal of Cleaner Production,2018,10.1016/j.jclepro.2017.10.177,55,abstract
Converting retirement benefit into a life care annuity with graded benefits*       ,Scandinavian Actuarial Journal,2017,10.1080/03461238.2016.1258370,10,abstract
Assessment of the development of the social infrastructure of Russian regions and its impact on demographic processes,Finance: Theory and Practice,2020,10.26794/2587-5671-2020-24-2-104-119,2,abstract
Sustainable development of the northern regions: Population dimension,Economy of Regions,2018,10.17059/2018-4-24,12,abstract
Cost-effectiveness of interferon therapy for multiple sclerosis in Peru: impact of treatment adherence,Journal of Pharmaceutical Health Services Research,2019,10.1111/jphs.12279,1,INDEX_KW_ONLY
Cost Evaluation of Inhaler Therapies Used in Respiratory Diseases: The 1998 to 2015 Period in Turkey,Value in Health Regional Issues,2017,10.1016/j.vhri.2017.07.004,2,abstract
Cost-effectiveness of sensor-augmented insulin pump therapy vs continuous subcutaneous insulin infusion in patients with type 1 diabetes in the Netherlands,ClinicoEconomics and Outcomes Research,2019,10.2147/CEOR.S186298,12,abstract
Performance analysis of fusion based brain tumour detection using Chan-Vese and level set segmentation algorithms,International Journal of Recent Technology and Engineering,2019,,6,abstract
What is life like for our elderly? An empirical study of the quality of life of older people in Colombia,Cepal Review,2019,10.18356/D74159AE-EN,0,abstract
Automatically adjust retirement age; [Renteneintrittsalter automatisch anpassen],List Forum fur Wirtschafts- und Finanzpolitik,2016,10.1007/s41025-016-0035-5,0,abstract
Economic impact of longer battery life of cardiac resynchronization therapy defibrillators in Sweden,ClinicoEconomics and Outcomes Research,2016,10.2147/CEOR.S114921,9,abstract
"Driving factors of CO2 emissions and nexus with economic growth, development and human health in the Top Ten emitting countries","Resources, Conservation and Recycling",2019,10.1016/j.resconrec.2019.03.048,176,abstract
Public health and medical care in Russia: Status and problems,International Journal of Economic Research,2017,,7,abstract
The Value of a Statistical Life-Year in Sub-Saharan Africa: Evidence From a Large Population-Based Survey in Tanzania,Value in Health Regional Issues,2019,10.1016/j.vhri.2019.07.009,24,INDEX_KW_ONLY
Comparison of Equity Preferences for Life Expectancy Gains: A Discrete Choice Experiment among the Japanese and Korean General Public,Value in Health Regional Issues,2019,10.1016/j.vhri.2018.05.004,4,title
"Social connectedness: Measurement, determinants, and effects",Journal of Economic Perspectives,2018,10.1257/jep.32.3.259,383,INDEX_KW_ONLY
Per capita income and health outcome convergence in the economic community of West African states,Nigerian Journal of Economic and Social Studies,2020,,2,abstract
Spa tourism as a part of ageing well,International Journal of Spa and Wellness,2019,10.1080/24721735.2019.1668673,23,abstract
What Have Remittances Done to Development? Evidence from the Caribbean Community and Common Market,Review of Black Political Economy,2016,10.1007/s12114-016-9240-y,7,abstract
Innovative behavior and the Chinese enterprise survival risk: An empirical study,China Finance and Economic Review,2016,10.1515/cfer-2016-050405,0,abstract
Effect of unemployment on health capital,Iranian Economic Review,2018,10.22059/ier.2018.67853,9,abstract
Education and human development: A case study on the role on Federal Institute (IFs) in Brazil; [Educação e desenvolvimento humano: Um estudo de caso sobre o papel dos institutos federais (IFs) no Brasil],Espacios,2017,,0,abstract
Trade openness and life expectancy nexus in less-developed countries,International Journal of Trade and Global Markets,2017,10.1504/IJTGM.2017.090268,3,title
Alarm over the public pension system: Demography to blame?; [Alarma en el sistema público de pensiones: ¿Culpa de la demografía?],Revista del Ministerio de Empleo y Seguridad Social,2017,,1,abstract
Analysis of cause-of-death mortality and actuarial implications,Communications for Statistical Applications and Methods,2019,10.29220/CSAM.2019.26.6.557,3,abstract
Income distribution and health: can polarization explain health outcomes better than inequality?,European Journal of Health Economics,2019,10.1007/s10198-018-1016-9,11,INDEX_KW_ONLY
Tourists with dementia - A unique challenge for the tourism industry,Pertanika Journal of Social Sciences and Humanities,2018,,3,abstract
Demography and pensions. An unconventional relationship; [Demografía y pensiones: Una relación no convencional],Ekonomiaz,2019,,0,abstract
Social and economic drivers of national economic development: The case of OPEC countries,Problems and Perspectives in Management,2018,10.21511/ppm.16(4).2018.14,55,abstract
Social inequality and poverty as a challenge to the development of human potential of the national economy,Espacios,2019,,0,abstract
Ageing's raging savings debate,Economic Outlook,2018,10.1111/1468-0319.12342,0,abstract
Different statistical measures create different perceptions of the digital divide,Information Society,2019,10.1080/01972243.2019.1582568,8,abstract
Some adjustments to the human capital and the friction cost methods,European Journal of Health Economics,2018,10.1007/s10198-018-0969-z,11,INDEX_KW_ONLY
Psychological wellbeing intended for healthy longevity,International Journal of Management,2019,10.34218/IJM.10.6.2019.010,1,abstract
An analysis of health spending: Trends in selected countries,International Journal of Applied Business and Economic Research,2017,,5,abstract
Social development forecast for russian regions,Finance: Theory and Practice,2018,10.26794/2587-5671-2018-22-6-132-152,3,abstract
"The dark side of work life extension: Health, welfare and equity concerns",Sociologia del Lavoro,2018,10.3280/SL2018-150006,7,abstract
Life Settlement Funds: Current Valuation Practices and Areas for Improvement,Risk Management and Insurance Review,2016,10.1111/rmir.12042,9,abstract
Financial development-poverty reduction nexus in brics: A panel data analysis approach,Applied Econometrics and International Development,2020,,5,abstract
Assessing the Burden of Type 2 Diabetes in China Considering the Current Status-Quo Management and Implications of Improved Management Using a Modeling Approach,Value in Health Regional Issues,2019,10.1016/j.vhri.2018.08.006,19,abstract
The effects of demographic structures on savings in Eastern European countries,Eastern Journal of European Studies,2019,,1,abstract
Anticipating aging and prospecting pension for retirement well-being,DLSU Business and Economics Review,2019,,3,abstract
The rights-based approach to care policies: Latin American experience,International Social Security Review,2017,10.1111/issr.12154,16,abstract
An analysis of emerging trends and transformations in global healthcare,International Journal of Health Governance,2019,10.1108/IJHG-02-2019-0012,58,abstract
A Trial-Based Cost-Effectiveness Analysis of Bevacizumab and Chemotherapy versus Chemotherapy Alone for Advanced Nonsquamous Non–Small-Cell Lung Cancer in China,Value in Health Regional Issues,2019,10.1016/j.vhri.2018.05.001,18,INDEX_KW_ONLY
Analysis of the scientific and socioeconomic development of Latin America; [Análisis del codesarrollo científico y socioeconómico de los países de América Latina],Iberoamerica (Russian Federation),2019,,1,abstract
Effectiveness and Cost-Effectiveness of Triple Therapy with Telaprevir and Boceprevir for Chronic Hepatitis C: A Decision Analysis from the Brazilian Public Health System Perspective,Value in Health Regional Issues,2019,10.1016/j.vhri.2019.02.005,1,abstract
Study on the maintenance interval decisions for life expectancy in railway turnout clearance detector,Journal of the Korean Society for Railway,2017,10.7782/JKSR.2017.20.4.491,5,title
Improving power scooter in systematic innovative thinking,International Journal of Systematic Innovation,2018,,0,abstract
Upper and lower bounds for annuities and life insurance from incomplete mortality data,Revista Contabilidade e Financas,2019,10.1590/1808-057x201807320,2,abstract
Determinants of health status and public policies implications - Lessons for Romania,Transylvanian Review of Administrative Sciences,2017,10.24193/tras.52E.8,10,abstract
The social age of retirement and its tenacious resistance. Regarding the social management of age; [La «edad social de jubilación» y su tenaz resistencia. A propósito de la gestión social de la edad],Ekonomiaz,2019,,4,abstract
Modeling the economic outcomes of immuno-oncology drugs: Alternative model frameworks to capture clinical outcomes,ClinicoEconomics and Outcomes Research,2018,10.2147/CEOR.S144208,14,INDEX_KW_ONLY
"Main tendencies in the development of human capital in the Russian Federation, 2011-2016",Applied Econometrics and International Development,2018,,1,abstract
Demand drivers of female labor force participation: Evidence from selected African countries,ECONOMICS - Innovative and Economics Research Journal,2019,10.2478/eoik-2019-0007,4,abstract
Achievement of Family Well-being and Healthy Lifestyle in the Context of the Millennium Development Goals (MDGs) and the Sustainable Development Goals (SDGs),Journal of Home Economics Research,2017,10.66731/jher.v24i2.266,0,abstract
Greenhouse gas emissions and health outcomes in Nigeria: Empirical insight from auto-regressive distribution lag technique,International Journal of Energy Economics and Policy,2018,,84,abstract
Demographic factors in the Republic of Kazakhstan pension protection development,Espacios,2017,,0,author_kw
How the population of the Republic of Azerbaijan is ageing: causes and potential for social and economic development,Population and Economics,2019,10.3897/popecon.3.e47233,5,abstract
"HIV/AIDS, Life Expectancy, and the Opportunity Cost Model of Civil War",Journal of Conflict Resolution,2017,10.1177/0022002716628281,10,title
Health losses at the end of life: a Bayesian mixed beta regression approach,Journal of the Royal Statistical Society. Series A: Statistics in Society,2017,10.1111/rssa.12230,6,abstract
What matters in type 2 diabetes mellitus oral treatment? A discrete choice experiment to evaluate patient preferences,European Journal of Health Economics,2016,10.1007/s10198-015-0750-5,31,INDEX_KW_ONLY
Life Expectancy of Population of the Country: The Role of Health Services Effectiveness,Research in World Economy,2019,10.5430/rwe.v10n4p86,17,title
Balancing equity and efficiency in the Dutch basic benefits package using the principle of proportional shortfall,European Journal of Health Economics,2013,10.1007/s10198-011-0346-7,79,INDEX_KW_ONLY
The Cost Effectiveness of High-Dose versus Conventional Haemodialysis: a Systematic Review,Applied Health Economics and Health Policy,2016,10.1007/s40258-015-0212-3,8,INDEX_KW_ONLY
Transformation of demographic processes in Yakutia,Regional Research of Russia,2015,10.1134/S2079970515010074,0,abstract
The contribution of subjective measures to the quantification of social progress: Evidence from Europe and Israel,International Journal of Sociology and Social Policy,2016,10.1108/IJSSP-06-2015-0060,7,abstract
"High frequency body mass measurement, feedback, and health behaviors",Economics and Human Biology,2014,10.1016/j.ehb.2013.12.003,8,INDEX_KW_ONLY
"Costs associated with rheumatoid arthritis in Italy: Past, present, and future",ClinicoEconomics and Outcomes Research,2016,10.2147/CEOR.S91006,18,abstract
Social and territorial aspects of the national economic security in Russia,Mediterranean Journal of Social Sciences,2014,10.5901/mjss.2014.v5n28p79,3,author_kw
Compensating wage differentials across russian regions,AIEL Series in Labour Economics,2015,10.1007/978-3-642-55203-8_4,17,abstract
Demographic situation in Siberia in the context of nationwide trends,Regional Research of Russia,2015,10.1134/S2079970515020100,4,abstract
Relation between health and wealth: Is it a myth or a true relationship? Evidence from Egypt,"European Journal of Economics, Finance and Administrative Sciences",2012,,0,abstract
The Option Value of Innovation,Forum for Health Economics and Policy,2012,10.1515/1558-9544.1306,21,abstract
Regional development in advanced countries: A within-country application of the human development index for Austria,Danube,2015,10.1515/danb-2015-0001,7,abstract
Development of the human capital taking into account a gender factor in Russia,Mediterranean Journal of Social Sciences,2015,10.5901/mjss.2015.v6n3s4p237,1,abstract
Medicalization versus demedicalization of occupational hardship: Political wrangling between two arguments (2003-2013); [Médicalisation versus démédicalisation de la pénibilité des parcours professionnels: Le travail politique de deux arguments (2003-2013)],Retraite et Societe,2014,,1,abstract
Unlocking potentials in developing country through education: A panacea for economic growth and poverty alleviation,Mediterranean Journal of Social Sciences,2014,10.5901/mjss.2014.v5n23p868,4,abstract
The Importance of Proximity to Death in Modelling Community Medication Expenditures for Older People: Evidence From New Zealand,Applied Health Economics and Health Policy,2014,10.1007/s40258-014-0121-x,6,INDEX_KW_ONLY
Aid effectiveness in OIC member countries,Journal of Economic Cooperation and Development,2016,,0,abstract
Innovation as a vector of regional economic development and a necessary condition for the progress of the world economy,Asian Social Science,2015,10.5539/ass.v11n20p90,9,abstract
Analysis of life expectancy rate at birth in the Republic of Tatarstan,Mediterranean Journal of Social Sciences,2014,10.5901/mjss.2014.v5n24p,4,title
"Understanding, modelling and managing longevity risk: Key issues and main challenges",Scandinavian Actuarial Journal,2012,10.1080/03461238.2010.511034,84,abstract
Democracy and human development nexus: The african experience,Journal of Economic Cooperation and Development,2016,,5,abstract
Pension reforms — the international perspective; [Rentenreformen — die internationale Perspektive],Wirtschaftsdienst,2015,10.1007/s10273-015-1798-7,2,abstract
The role of human development on deforestation in Africa: A modelling-based approach,International Journal of Green Economics,2012,10.1504/IJGE.2012.051493,2,abstract
Sustainability and adequacy of the Spanish pension system,International Business Management,2016,,0,abstract
Cost-effectiveness analysis of the drug eluting stent (SF) vs bare metal stent (SNF) in ischemic heart disease in Chile; [Análisis Costo Efectividad del Stent Farmacológico V/S Stent no Farmacológico en Cardiopatía Isquémica en Chile],Value in Health Regional Issues,2012,10.1016/j.vhri.2012.09.008,1,abstract
Cost-effectiveness analysis of CT colonography for colorectal cancer screening program to working age in Japan,Value in Health Regional Issues,2014,10.1016/j.vhri.2014.04.009,4,INDEX_KW_ONLY
The recent demographic dynamics in the Sierra Morena of Córdoba; [La dinámica demográfi ca reciente en la Sierra Morena Cordobesa],Revista de Estudios Regionales,2012,,3,abstract
The effect of health indicator on economic growth of Iran,Asian Social Science,2016,10.5539/ass.v12n2p32,0,abstract
Measurement issues of income and non-income welfare indicators: Assessment of pakistan’s pro-poor growth,International Journal of Economics and Financial Issues,2015,,6,abstract
Offering lung cancer screening to high-risk medicare beneficiaries saves lives and is cost-effective: An actuarial analysis,American Health and Drug Benefits,2014,,66,abstract
I feel good! Gender differences and reporting heterogeneity in self-assessed health,European Journal of Health Economics,2012,10.1007/s10198-011-0301-7,53,INDEX_KW_ONLY
"How sustainable is the economic development in Romania: An empirical evidence on economic, environmental and social dimensions",Journal of International Business and Economics,2016,10.18374/JIBE-16-2.8,0,abstract
Financial aid and economic development of ASEAN: Kuznets Hypothesis; [Bantuan Kewangan dan Pembangunan Ekonomi di ASEAN: Hipotesis Kuznets],Jurnal Ekonomi Malaysia,2016,10.17576/JEM-2016-5001-08,0,abstract
"Selected indicators of population ageing in the World: Trends, impacts and consequences",Geographica Pannonica,2014,10.5937/geopan1402026b,3,abstract
"Effect of GNI on infant mortality rate in low income, lower middle income, upper middle income and high income countries",Journal of Health and Human Services Administration,2016,,2,INDEX_KW_ONLY
"Health financing, environmental quality and health outcomes: Evidence from developing countries",International Journal of Economic Perspectives,2016,,4,abstract
Economic Burden of Osteoporotic Fracture of the Elderly in South Korea: A National Survey,Value in Health Regional Issues,2016,10.1016/j.vhri.2015.09.007,36,abstract
The impact of security and regional integration on poverty reduction in Afghanistan,Journal of International Studies,2015,10.14254/2071-8330.2015/8-1/16,3,abstract
The little problem of longevity: Searching for answers to uncertainty,Journal of Alternative Investments,2014,10.3905/jai.2014.17.1.008,2,abstract
The Dragon Treads the Polluted Path: Political Dilemmas before the Chinese Communist Party,Asian Affairs(UK),2015,10.1080/00927678.2015.1035146,1,abstract
The social economic development index: A new measurement of development,Jurnal Ekonomi Malaysia,2012,,1,abstract
Pension policy in times of demographic change: Currently moving backwards; [Rentenpolitik im Angesicht des demografischen Wandels: Problemverschärfung statt Rationalität],Wirtschaftsdienst,2015,10.1007/s10273-015-1795-x,0,abstract
Another look at housing finance in Africa: The anatomy of pension asset-backed housing financing,International Journal of Housing Markets and Analysis,2016,10.1108/IJHMA-11-2014-0048,10,abstract
Endogenous technological change in medicine and its impact on healthcare costs: Evidence from the pharmaceutical market in Taiwan,European Journal of Health Economics,2013,10.1007/s10198-011-0370-7,8,INDEX_KW_ONLY
Can measures of well-being and progress help societies to achieve sustainable development?,Journal of Cleaner Production,2015,10.1016/j.jclepro.2014.11.076,77,abstract
Technical efficiency in the use of health care resources: A cross-country analysis,Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Sectiunea Stiinte Economice,2013,10.2478/aicue-2013-0001,11,abstract
Distributional Effects of the Forthcoming Finnish Pension Reform n- a Dynamic Microsimulation Approach,International Journal of Microsimulation,2015,,7,abstract
"Leadership in sustainable agribusiness, innovation, and solar thermal renewable energy: Opportunities for sustainable agribusiness",International Journal on Food System Dynamics,2016,10.18461/ijfsd.v7i2.727,3,abstract
Comparative analysis of human development in Kazakhstan and other Eurasian economic union countries,International Journal of Economics and Financial Issues,2016,,5,abstract
Pollution and its influence on health of population in Russia,Regional Research of Russia,2014,10.1134/S2079970514010110,10,abstract
Demographic transition and population ageing,Mediterranean Journal of Social Sciences,2015,10.5901/mjss.2015.v6n3s2p213,9,abstract
"Lower pollution, longer lives: Life expectancy gains if india reduced particulate matter pollution",Economic and Political Weekly,2015,,61,title
Regional healthcare effectiveness,Economy of Regions,2016,10.17059/2016-1-16,2,abstract
Factors influencing the labor force participation of married women in the United States,Asian Social Science,2016,10.5539/ass.v12n3p24,1,abstract
Hip replacement in Austria-modelling the economic burden due to obesity,Academy of Strategic Management Journal,2015,,2,abstract
Internal rates of return in the additional public sector pension scheme in Germany; [Interne Renditen des Punktemodells in der Zusatzversorgung des öffentlichen Dienstes],Zeitschrift fur die gesamte Versicherungswissenschaft,2014,10.1007/s12297-014-0276-4,0,abstract
Pauvreté et mortalité différentielle chez les personnes âgées,Reflets et Perspectives de la Vie Economique,2011,10.3917/rpve.504.0045,1,abstract
Fetal and infant origins of diabetes and ill health: Evidence from Puerto Rico's 1928 and 1932 hurricanes,Economics and Human Biology,2013,10.1016/j.ehb.2012.02.009,49,INDEX_KW_ONLY
Reforming French pensions: Transition to a notional defined contribution system; [Réforme des retraites en France: Évaluation de la mise en placed'un système par comptes notionnels],Economie et Prevision,2012,10.3406/ecop.2012.8107,2,abstract
Structural comparison of management apsects of community healthcare centres in Europe with special focus on Germany,Academy of Strategic Management Journal,2016,,1,abstract
Re-conceptualising active living for individuals with spinal cord injury,World Leisure Journal,2012,10.1080/04419057.2012.702453,0,abstract
Using stochastic mortality models to measure longevity risk in developed countries,International Research Journal of Finance and Economics,2012,,0,abstract
Ageing well or keeping young: An atempt at a typology of active management of ageing through women's fitness practices; [Bien vieillir ou rester jeune: Essai de typologie des formes de gestion active de la vieillesse à travers la pratique du fitness des femmes],Retraite et Societe,2016,,3,abstract
Are Small and Medium Enterprises (SMES) in Lahore failing at the rate suggested in prior studies? An analysis of the degree of financial stress on small and medium enterprises and its impact on their life expectancy,International Business Management,2016,,4,title
Bayesian reconstruction of two-sex populations by age: Estimating sex ratios at birth and sex ratios of mortality,Journal of the Royal Statistical Society. Series A: Statistics in Society,2015,10.1111/rssa.12104,7,abstract
The effect of foreign financial aid on ASEAN development indicator: Panel analysis; [Kesan Bantuan Kewangan Luar terhadap Indikator Pembangunan di ASEAN: Analisis Panel],Jurnal Ekonomi Malaysia,2015,10.17576/JEM-2015-4901-06,1,abstract
"Environmental, economic, and social implications of highway concrete rehabilitation alternatives",Journal of Construction Engineering and Management,2016,10.1061/(ASCE)CO.1943-7862.0001063,33,abstract
Spatial and time remoteness as a subject of transport and logistics research (By the example of the republic of tatarstan healthcare system),Journal of Economics and Economic Education Research,2016,,2,abstract
Factors of regional differentiation of indicators of population reproduction in Russia,Regional Research of Russia,2015,10.1134/S2079970515040085,2,abstract
Using Dynamic Transmission Modeling to Determine Vaccination Coverage Rate Based on 5-Year Economic Burden of Infectious Disease: An Example of Pneumococcal Vaccine,Value in Health Regional Issues,2015,10.1016/j.vhri.2015.03.014,4,INDEX_KW_ONLY
The impact of changes in educational attainment on life expectancy in Ireland,Journal of the Statistical and Social Inquiry Society of Ireland,2014,,2,title
Long-term care in Germany: An analysis with claim data for 2003 to 2010; [Pflegeverläufe im Spiegel von Routinedaten der GKV: Eine Analyse für die Jahre 2003 bis 2010],Zeitschrift fur die gesamte Versicherungswissenschaft,2015,10.1007/s12297-015-0298-6,4,abstract
Impact of increasing retirement age on longevity factor: An empirical study for government pensioners in Malaysia,Jurnal Ekonomi Malaysia,2012,,3,abstract
Population projection of Oman: Implications for future development,"Education, Business and Society: Contemporary Middle Eastern Issues",2012,10.1108/17537981211265543,4,abstract
Variation in the relationship between BMI and survival by socioeconomic status in Great Britain,Economics and Human Biology,2014,10.1016/j.ehb.2013.05.006,10,INDEX_KW_ONLY
Cost-effectiveness of candesartan versus losartan in the primary preventive treatment of hypertension,ClinicoEconomics and Outcomes Research,2012,10.2147/CEOR.S35824,5,INDEX_KW_ONLY
Investigating the factors influencing the life insurance market in Ethiopia,Problems and Perspectives in Management,2015,,10,abstract
A narrative review of cost-effectiveness analysis of people living with HIV treated with HAART: From interventions to outcomes,ClinicoEconomics and Outcomes Research,2015,10.2147/CEOR.S85535,5,abstract
Adjustment mechanisms and intergenerational actuarial neutrality in pension reforms,International Social Security Review,2016,10.1111/issr.12096,13,abstract
Financial literacy and retirement planning: Evidence from Israel,Israel Economic Review,2016,,20,abstract
Forecasting mortality in the event of a structural change,Journal of the Royal Statistical Society. Series A: Statistics in Society,2011,10.1111/j.1467-985X.2010.00687.x,47,abstract
Equidad y sostenibilidad como objetivos ante la reforma del sistema contributivo de pensiones de jubilació,Hacienda Publica Espanola,2012,,11,abstract
Correlation between risk factors for non-communicable diseases and common cancers in Iran: Ecological study,International Business Management,2016,,5,abstract
Sociodemographic limitations of the sustainable development of Murmansk oblast,Studies on Russian Economic Development,2014,10.1134/S1075700714020087,6,abstract
Modelling and the forecast of the demographic situation in the region,International Journal of Economic Perspectives,2016,,0,abstract
The peculiarities of demographic aging in the northern regions of Russia,Regional Research of Russia,2014,10.1134/S2079970514010134,0,abstract
Cross-market cost-effectiveness analysis of erlotinib as first-line maintenance treatment for patients with stable non-small cell lung cancer,ClinicoEconomics and Outcomes Research,2012,10.2147/CEOR.S25923,22,abstract
Towards a contraction and convergence target based on population life expectancies since 1960,"Environment, Development and Sustainability",2013,10.1007/s10668-012-9432-y,3,title
The effect of health capital and accumulation of physical capital on economic growth,International Business Management,2016,,0,abstract
