Article Title,Source Title,Author Keywords,Abstract,relevance
"Health insurance, endogenous medical progress, health expenditure growth, and welfare",JOURNAL OF HEALTH ECONOMICS,Health care spending; Health insurance; Intergenerational externality; Medical progress; Moral hazard; Overlapping generations,"We study the impact of health insurance expansion on medical spending, longevity and welfare in an OLG economy in which individuals purchase health care to lower mortality and medical progress is profit-driven. Three sectors are considered: final goods production; a health care sector, selling medical services to individuals; and an R&D sector, selling increasingly effective medical technology to the health care sector. We calibrate the model to the development of the US economy/health care system from 1965 to 2005 and study numerically the impact of the insurance expansion. We find that more extensive health insurance accounts for a large share of the rise in US health spending but also boosts the rate of medical progress. A welfare analysis shows that while the subsidization of health care through health insurance creates excessive health care spending, the gains in life expectancy brought about by induced medical progress more than compensate for this.",
"Gender equality, economic growth, and poverty in Côte d'Ivoire: A quantitative analysis",STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,Three-period gender-based OLG model; Life expectancy; Poverty; Cote d'ivoire,"In this paper, we develop a three -period gender -based Overlapping Generations (OLG) model of economic growth for Cote d'Ivoire in which life expectancy is endogenized and the rate of change of the poverty rate is linked to the growth rate of output per capita. We then calibrate the model using the country -specific calibration data to illustrate the role of public policies in the model, and its implications for long-term growth, gender equality, and poverty in Cote d'Ivoire. To this end, we discuss three sets of quantitative experiments: broad -based development policies (increase in education spending and infrastructure investment, and governance reform), gender -based policies (reduction in gender bias in the market place, increase in women's bargaining power, and reduction in family bias against girls' education), and a composite reform program (combination of pro -growth, pro -gender policies). Overall, our findings suggest that Cote d'Ivoire could achieve better growth and poverty outcomes if the country could implement a composite reform program that includes comprehensive development and gender -based policies.",
STUDY OF THE MITIGATION MECHANISMS OF THE LONGEVITY RISK IN INSURANCE AND PENSIONS,ANALES DEL INSTITUTO DE ACTUARIOS ESPANOLES,Longevity risk; mortality risk; tatonnement approach; CARA; CRRA equivalent utilities and MLS bond,"The phenomenon of longevity refers to the fact that the population lives longer, or lives longer than expected. In recent decades, the Spanish population and, in general, the world population, has increased its longevity. This evolution is reflected, for example, in life expectancy at birth and life expectancy at a certain age, such as retirement. The longevity from a decrease in mortality rates. This longevity risk is especially important in insurance that provides survivorship benefits, that is, when the insured lives to certain ages. The monetary repercussions of unforeseen (and therefore unpriced) longevity are significant. There are risk transfer mechanisms in financial markets that can be applied to longevity risk.Thus, various initial experiences of q-forward and swaps have appeared on the market in recent times, but there are difficulties in their generalization. The first goal is the study of the mechanisms for transferring the risk of longevity to the financial markets that have developed in recent years, their characteristics and their advantages and disadvantages. The second one is to develop valuation models of these instruments according to different hypotheses of future mortality and different mechanisms of price formation.",
COMMUNICATIVE COMPETENCES IN ENHANCING OF REGIONAL COMPETITIVENESS IN THE LABOUR MARKET,BALTIC JOURNAL OF ECONOMIC STUDIES,European integration; foreign language; human capital; rating; international trade; export; import,"The characteristic of the regional labour market requires the usage of modern aspects for the key factors' analysis of labour cost increase. The high rate of migration, covering Ukraine in recent years, is influencing negatively on the labour market structure. It is necessary to remark among positive features that the demand increasing for highly intellectual staff, skilful in communication in foreign languages and building up social relations is of great importance. The subject of scientific research defines communicative competences as the key factors of human capital, which promotes the increase in competitiveness of an individual in the labour market and, as a result, an increase of the regional competitiveness. The aim of the research is to establish the dependency between the level of communicative competence and competitiveness in the labour market studying communicative competence factors in terms of the theory of human capital, the determination of the conformity between the requirements to human capital and the conformity of the investigated factors to these requirements. Communicative competencies are a set of skills, which allows labour market entity distinctly expressing and applying the business format of communication. The practical use of oratory allows negotiating with foreign counterparties, putting into practice the etiquette of business communication, and competently solving the complicated situations. The research of existing requirements to communicative competence defined the levels of qualification, which ensure the development of new kinds of activities. It defined the position of Ukraine in professional communicative competence in the world rating. The research was to carry out of rating assessment of the economic situation in regions according to economic indicators, which can be changed under the influence of a factor of the communicative contractors' competence (average monthly-paid salary per an employee, export, and import of goods in the region, turnover of retail trade). The methodology of the research is based on the research of the role of human capital factors in increasing the cost of labour on the basis of the statistical method and analysing data of the labour market economic indicators, and in substantiating the relationship between the level of professional communicative competence in the country and its social and economic indicators. Value/originality. The methods of analysis and synthesis allowed revealing regularities and formulating recommendations for improving the competitiveness of the regional labour market by inducing the development of communicative competences and raising the index of human capital of the country in a whole. Positive dynamics of import and export, business activity, direct foreign investment and overall trade turnover indicators will be immediately reflected in a whole at the regional level and at the level of the country. Life expectancy of the population, the level of education and culture, the criminal situation decreasing will be approved by the social indicators.",
The morbidity costs of air pollution through the Lens of Health Spending in China,JOURNAL OF POPULATION ECONOMICS,Air quality; Health spending; Willingness to pay; China,"This study is one of the first to present causal evidence of the morbidity costs of fine particulates (PM2.5) for all age cohorts in a developing country, using individual-level health spending data from a basic medical insurance program in Wuhan, China. Our instrumental variable (IV) approach uses thermal inversion to address potential endogeneity in PM2.5 concentrations and shows that PM2.5 imposes a significant impact on healthcare expenditures. The two-stage least squares (2SLS) estimates suggest that a 10 mu g/m(3) (micrograms per cubic meter) reduction in monthly average PM2.5 leads to a 2.36% decrease in the value of health spending and a 0.79% decline in the number of transactions at pharmacies and healthcare facilities. Also, this effect, largely driven by spending at pharmacies, is more salient for males and children, as well as middle-aged and older adults. Moreover, our estimates may provide a lower bound on individuals' willingness to pay, amounting to CNY 43.87 (or USD 7.09) per capita per year for a 10 mu g/m(3) reduction in PM2.5.",
Autopsy on an empire: Understanding mortality in Russia and the former soviet union,JOURNAL OF ECONOMIC PERSPECTIVES,,"Male life expectancy at birth fell by over six years in Russia between 1989 and 1994. Many other countries of the former Soviet Union saw similar declines, and female life expectancy fell as well. Using cross-country and Russian household survey data, we assess six possible explanations for this upsurge in mortality. Most find little support in the data: the deterioration of the health care system, changes in diet and obesity, and material deprivation fail to explain the increase in mortality rates. The two factors that do appear to be important are alcohol consumption, especially as it relates to external causes of death (homicide, suicide, and accidents) and stress associated with a poor outlook for the future. However, a large residual remains to be explained.",
Social Capital and Climate A First Statistical Approach,CUADERNOS DE ECONOMIA-SPAIN,Social capital; climate; economic growth,"Social capital has been proved to be related to economic growth, financial development and economic performance in general. The purpose of the present article is suggesting a link between social capital and climate. The paper serves as a first statistical test on whether climatic differences between countries are linked social capital differences. Climate is taken as given and then systematic differences in what different climates of the world could have had on the social capital index have been tested. The relationship between climate and social capital remains significant after controlling for income, education and life expectancy. The results show that temperate climate is favourably associated to high levels of the social capital index; while tropical, dry climate, and climate of high heights are inversely related. Moreover, dry climate and climate of high heights (both extreme climates) seem to have a similar effect on social capital, as we cannot appreciate a statistically significant difference between them.",
Hepatitis C - Cost of illness and considerations for the economic evaluation of antiviral therapies,PHARMACOECONOMICS,,"Chronic hepatitis C virus (HCV) infection affects 170 million individuals worldwide. As it is detected incidentally through the evaluation of liver function tests or at the time of blood donor testing, it is usually clinically silent until the advanced stages of liver disease have occurred, when treatment is less effective and shortages of donor liver organs limit the therapeutic options. Combination therapy with ribavirin and pegylated interferon has resulted in sustained viral negative response rates of 54-61%. Because treatment is expensive and not uniformly effective, and because not all chronically infected patients will develop complications, concerns have arisen regarding the cost effectiveness of combination therapy. This paper reviews the public health and individual implications of HCV infections. Because of the latency of infection, numerous country-specific population analyses suggest that HCV will cause an increasing number of liver-related deaths over the next 10 years, despite the dramatic drop in incidence over the past 10-15 years. These deaths will be related to prevalent HCV infection from transfusion and injection drug use prior to identification of the virus and availability of screening tests in the late 1980s and early 1990s. HCV can reduce life expectancy and impair quality of life, yet not all patients will develop progressive liver disease, and antiviral treatment may have associated adverse effects. Finally, to assess the value of antiviral drugs for HCV infection. this paper reviews studies examining the costs of antiviral drugs and of the disease itself along with response to antiviral therapy and the cost effectiveness of antiviral therapy. Although antiviral therapy appears to be expensive. when also considering the likelihood of sustained viral response to therapy, and the cost savings, quality-of-life improvement and prolongation of life expectancy from the prevention of HCV complications, antiviral treatment for HCV appears to be cost effective when compared with other well accepted medical interventions.",
HOW FUNCTIONAL DATA CAN ENHANCE THE ESTIMATION OF HEALTII EXPECTANCY: THE CASE OF DISABLED SPANISH POPULATION,ASTIN BULLETIN-THE JOURNAL OF THE INTERNATIONAL ACTUARIAL ASSOCIATION,ADL; cox regression; dependency; disability; functional data,"The aging of population is perhaps the most important problem that developed countries must face in the near future. Dependency can be seen as a consequence of the process of gradual aging. In a health context, this contingency is defined as a lack of autonomy in performing basic activities of daily living that requires the care of another person or significant help. In Europe in general and in Spain in particular, this phenomena represents a problem with economic, political, social and demographic implications. The prevalence of dependency in the population, as well as its intensity and evolution over the course of a person's life are issues of greatest importance that should be addressed. The aim of this work is the estimation of life expectancy free of dependency (LEFD) based on functional trajectories to enhance the regular estimation of health expectancy. Using information from the Spanish survey EDAD 2008, we estimate the number of years spent free of dependency for disabled people according to gender, dependency degree (moderate, severe, major) and the earlier or later onset of dependency compared to a central trend. The main findings are as follows: first, we show evidence that to estimate LEFD ignoring the information provided by the functional trajectories may lead to non-representative LEFD estimates; second, in general, dependency-free life expectancy is higher for women than for men. However, its intensity is higher in women with later onset on dependency; Third, the loss of autonomy is higher (and more abrupt) in men than in women. Finally, the diversity of patterns observed at later onset of dependency tends to a dependency extreme-pattern in both genders.",
Health and Income: Theory and Evidence for OECD Countries,"HUMAN CAPITAL AND ECONOMIC GROWTH: THE IMPACT OF HEALTH, EDUCATION AND DEMOGRAPHIC CHANGE",,,
Life Expectancy in Russia's Regions,ECONOMIC AND SOCIAL CHANGES-FACTS TRENDS FORECAST,life expectancy; factors; region,"Life expectancy at birth is used as a comprehensive indicator of public health and socioeconomic development. The impact of the quality of healthcare, reginal economic development and people's welfare on life expectancy at birth in Russia requires more detailed and system-wide scientific substantiation at the level of RF constituent entities. The novelty of the study consists in identifying the impact of various factors on the increase in life expectancy by constructing panel vector autoregressions in groups of Russian regions identified with the help of clustering and showing similar rates of increase in life expectancy. The results of the obtained models in the context of the formed clusters demonstrate that the increase in life expectancy in all clusters correlates with the positive dynamics of economic development in the region and the increase in average per capita income. Factors contributing to the organization of the healthcare system in the regional context are poorly related to life expectancy indicators due to the underfunding of this area, orientation toward a decrease in the provision of beds in hospitals due to the optimization of the healthcare system and the cumulative nature of the impact. The conclusions obtained in the course of our study can be used in the practice of managing the quality of life and socio-economic development in Russia's regions.",
Alleviating the Patient's Price of Privacy Through a Partially Observable Waiting List,MANAGEMENT SCIENCE,dynamic programming; partially and completely observable Markov decision process models; medical decision making; liver transplantation; value of information,"In the United States, end-stage liver disease patients join a waiting list and then make accept/reject decisions for transplantation as deceased-donor organs are offered to them over time. These decisions are largely influenced by the patient's prospect for future offers, which can be ascertained most accurately by knowing the entire composition of the waiting list. Under the current transplantation system, however, the United Network for Organ Sharing (UNOS), in an effort to strike a balance between privacy and transparency, only publishes an aggregated version of the waiting list. However, it is not clear whether the published information is good enough (compared with perfect information) to help patients make optimal decisions that maximize their individual life expectancies. We provide a novel model of this accept/reject problem from an individual patient's perspective using a partially observed Markov decision process (POMDP) framework, which incorporates the imperfect waiting list information as published currently into the patient's decision making. We analyze structural properties of this model. In particular, we establish conditions that guarantee a monotone value function and a threshold-type optimal policy with respect to the partially observable rank state that captures the imperfect waiting list information. Furthermore, we develop an improved solution methodology to solve a generic POMDP model. This solution method guarantees, for any fixed grid, the best possible approximation to the optimal value function by solving linear programs to compute the optimal weights used for the approximation. Finally, we compare, in a clinically driven numerical study, the results of this model with those of an existing Markov decision process model that differs from our model in assuming the availability of perfect waiting list information. This comparison allows us to assess the quality of the published imperfect information as measured by a patient's so-called price of privacy (i.e., the opportunity loss in expected life days due to a lack of perfect waiting list information). Previous work estimates a significant loss in a patient's life expectancy, on average, when the patient has no waiting list information compared with full information. In this paper, we find that the currently published partial information is nearly sufficient to eliminate this loss, resulting in a negligible price of privacy and supporting current UNOS practice.",
Adverse selection in the annuity market with sequential and simultaneous insurance demand,GENEVA RISK AND INSURANCE REVIEW,annuity market; adverse selection; uncertain lifetime; equilibrium,"This paper investigates the effect of adverse selection on the private annuity market in a model with two periods of retirement and two types of individuals, who differ in their life expectancy. In order to introduce the existence of time-limited pension insurance, we consider a model where for each period of retirement separate contracts can be purchased. Demand for the two periods can be decided sequentially or simultaneously. We show that only a situation where all risk types choose sequential contracts is an equilibrium and that this outcome is favourable for the long-living, but is unfavourable for the short-living individuals.",
Parametric mortality improvement rate modelling and projecting,INSURANCE MATHEMATICS & ECONOMICS,,"We investigate the modelling of mortality improvement rates and the feasibility of projecting mortality improvement rates (as opposed to projecting mortality rates), using parametric predictor structures that are amenable to simple time series forecasting. This leads to our proposing a parallel dual approach to the direct parametric modelling and projecting of mortality rates. Comparisons of simulated life expectancy predictions (by the cohort method) using the England and Wales population mortality experiences for males and females under a variety of controlled data trimming exercises are presented in detail and comparisons are also made between the parallel modelling approaches. (C) 2011 Elsevier B.V. All rights reserved.",
NORMAL AGING,AGING SOCIETY: Rethinking and Redesigning Retirement,normal aging; older age; chronological age; biological age and chronic diseases,"Aging is a physiological process that, affected by genetic factors, different lifestyles, and environmental exposures, leads to senescence and death. With increasing age, changes in organs and organ systems occur, leading to progressive deterioration and damage to their function, as well as chronic diseases and functional disability. Older age is defined as a chronological age of 65 years. The average life expectancy in Western Europe and the United States is 74 for men and 80 for women. It is expected that by 2025, there will be as many as 82% of people over 60. The elderly often suffer from presbyopia and hearing loss, their muscle mass decreases with an increase in fatty tissue and diminishing bone mineral density, their skeleton becomes more fragile and their body height decreases. Movement and mental reactions become slower. Cardiac minute volume, the vital capacity of the lungs and kidney filtration capacity decrease, while the function of the digestive system generally remains preserved. Special characteristics of organ systems of the elderly are an indispensable subject when it comes to the development of medicine and the development of civilization in general.",
DYNAMICS AND STRATEGIC DIRECTIONS OF PUBLIC HEALTH PRESERVATION IN RUSSIAN FEDERATION,ENTREPRENEURSHIP AND SUSTAINABILITY ISSUES,public health; habitat; demography; medical geography; depopulation; life expectancy; morbidity; health management,"The article analyzes the dynamics of public health in Russia. It is noted that health preservation is not only a task for doctors, but also for other specialists. The authors believe that medical geographers can play a significant role in public health research. The study outlines major trends in the natural demographic movement of the population under the influence of socio-economic factors. The life expectancy of the population of Russia is characterized against the background of other countries. An increase in the number of registered patients and HIV is indicated. It is concluded that insufficient public expenditure on healthcare development in Russia causes negative trends in health protection. The article concludes with the main goals and corresponding objectives for improving public health and ensuring environmental sustainability.",
Estimating Quality-Adjusted Life-Year Loss Due to Noncommunicable Diseases in Korean Adults through to the Year 2040,VALUE IN HEALTH,chronic disease; health related quality of life; noncommunicable diseases; quality-adjusted life-year,"Objectives: To estimate the loss in quality-adjusted life-years (QALYs) in Korean adults due to 13 noncommunicable diseases (NCDs) in 2010 and predict changes in QALY loss through to the year 2040. Methods: Thirteen NCDs (hypertension, diabetes mellitus, hyperlipidemia, stroke, myocardial infarction, angina, arthritis, osteoporosis, asthma, allergic rhinitis, atopic dermatitis, cataract, and depression) were selected from the Korean Community Health Survey 2010. The Euro-Qol five-dimensional questionnaire index from the Korean Community Health Survey 2010 and the Korean valuation set were used to estimate utility weights according to sex, age, and disease. Morbidity data were also obtained from the Korean Community Health Survey 2010. Mortality data according to disease and life expectancy were retrieved from the Korean Statistical Information Service. To predict future QALY loss, future population projection data from the Korean Statistical Information Service were used as substitutes for 2010 population size. Results: Among the assessed 13 NCDs, the largest total QALY loss was for hypertension (513,113 QALYs; units are omitted hereafter), followed by arthritis (509,317) and stroke (431,049). The largest QALY loss due to mortality was stroke (306,733), whereas the largest QALY loss due to morbidity was arthritis (502,513). By applying the middle estimate of future population, the largest increase in total QALY loss between 2010 and 2040 was for hypertension (840,582), followed by stroke (719,076) and diabetes mellitus (474,607). Conclusions: Hypertension, arthritis, and stroke are important in terms of total QALY loss, which will continuous to increase because of aging. These results could be used to develop cost-effective interventions that reduce the burden of NCDs. (C) 2015 Published by Elsevier Inc. on behalf of International Society for Pharmacoeconomics and Outcomes Research (ISPOR).",
Random effects Weibull regression model for occupational lifetime,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,reliability; occupational lifetime; turnover rate; survival analysis; random effects Weibull model; mean residual life,"High job turnover rate can cause many problems and each company needs proper strategies to prevent the brain-drain of its manpower. For effective human resource management, predicting the occupational life expectancy or the mean residual life of those who are to leave and join another company is important. In this paper, we propose a random effects Weibull regression model for forecasting the occupational lifetime of the employees who join another company, based on their characteristics. Advantage of using such a random effects model is the ability of accommodating not only the individual characteristics of each employee but also the uncertainty that cannot be explained by individual factors. We apply the proposed model to the occupational lifetime data obtained from the company affiliated to general trading in Korea. From our analyses, we can infer the characteristics of those who have a relatively longer occupational lifetime as follows: the managing director level, relatively old, those who entered the company earlier, high school graduates, those who were involved in technical service, and married female employees. Accordingly, effective human resources management policy is necessary to retain those who are good but want to leave and those who stay but need more improvement for the betterment of the company. (c) 2006 Elsevier B.V. All rights reserved.",
Costs and Effects of Secondary Prevention with Perindopril in Stable Coronary Heart Disease in Poland An Analysis of the EUROPA Study Including 1251 Polish Patients,PHARMACOECONOMICS,,"Objectives: To estimate the long-term impact of treatment with perindopril on costs and health effects in patients with stable coronary artery disease in Poland. Methods: The cost-effectiveness analysis was based on data from a randomized double-blind, placebo-controlled trial. A decision-tree analysis was employed, including Monte Carlo and bootstrapping techniques. This study was a sub-study of the EUROPA (European Trial on Reduction of Cardiac Events with Perindopril in Stable Coronary Artery Disease) trial (n = 12 218; mean follow-up 4.2 years). Resource use was based on data from Polish EUROPA study patients (n = 125 1), while effectiveness was based on the whole EUROPA study. The health gain of perindopril in life-years was based on overall EUROPA study results, and the adapted Polish life expectancy of patients not dying during the trial. Costs were calculated in new Polish zloty (PLN), year 2003 values; (sic)1 = PLN4.053. Only direct healthcare costs related to cardiovascular events and medication use were studied. Results: When observed mortality was combined with life expectancy beyond the end of the study, perindopril use showed a gain in life expectancy of 0.182 life-years (SD +/- 0.129) at a cost of PLN1983 (SD +/- 103) with discounting of 5% per annum on costs and no discounting on effects. This resulted in an incremental cost-effectiveness ratio (ICER) of PLN 10 896 per life-year gained. The probability that the ICER for perindopril was below the threshold of PLN60 000 was 88%. The overall results were insensitive to discount rates for costs and life-years. Conclusions: Perindopril leads to a reduction in the risk of coronary events among patients with stable heart disease. When the expected improvement in life expectancy is combined with associated medical costs, there is a high probability that perindopril is cost effective, given the threshold of PLN60 000 per life-year gained.",
Immediate effect of air pollution on labor mobility: empirical evidence from online resume data,ANNALS OF REGIONAL SCIENCE,,"Using resume data from a large Chinese online job board, we explore how daily fluctuations in air pollution affect workers' mobility intentions in China. Users can update their resumes daily to attract employers' attention, reflecting their intentions to relocate from the city of residence to the desired destination city for work. We find that daily differences in the air quality index (AQI) between the city of residence and destination city significantly affect workers' mobility intentions. A one-unit decrease in the daily relative AQI (destination AQI-residence AQI) leads to a 0.018% increase in the number of workers willing to relocate on that day, indicating that air pollution has a push-pull effect on labor mobility intentions. This effect is stronger when air pollution is more severe locally than in the destination city and for workers aged 25-40, with higher educational levels, and from more developed cities. These results suggest that workers may be influenced by temporary air pollution conditions when deciding whether to relocate for work; this influence is potentially explained by the psychological mechanisms of salience and projection bias.",
Cost-Effectiveness Analysis of Patiromer and Spironolactone Therapy in Heart Failure Patients with Hyperkalemia,PHARMACOECONOMICS,,"Background and ObjectiveCertain patients with heart failure (HF) are unable to tolerate spironolactone therapy due to hyperkalemia. Patiromer is a novel agent used to treat hyperkalemia and has been shown to be efficacious, safe, and well-tolerated. The potential clinical outcomes and economic value of using patiromer and spironolactone in patients with HF unable to otherwise tolerate spironolactone due to hyperkalemia are unclear. The objective of this analysis was to model the potential pharmacoeconomic value of using patiromer and spironolactone in patients with a history of hyperkalemia that prevents them from utilizing spironolactone.MethodsWe performed a cost-effectiveness analysis of treatment with patiromer, spironolactone, and an angiotensin-converting enzyme inhibitor (ACEI) in patients with New York Heart Association (NYHA) class III-IV HF compared with ACEI alone. A Markov model was constructed to simulate a cohort of 65-year-old patients diagnosed with HF from the payer perspective across the lifetime horizon. Clinical inputs were derived from the RALES and OPAL-HK randomized trials of spironolactone and patiromer, respectively. Utility estimates and costs were derived from the literature and list prices. Outcomes assessed included hospitalization, life expectancy, and quality-adjusted life-years (QALYs), costs, and the incremental cost-effectiveness ratio (ICER). One-way and probability sensitivity analyses were performed to test the robustness of the model findings.ResultsTreatment with patiromer-spironolactone-ACEI was projected to increase longevity compared with ACEI alone (5.29 vs. 4.62 life-years gained, respectively), greater QALYs (2.79 vs. 2.60), and costs (US$28,200 vs. US$18,200), giving an ICER of US$52,700 per QALY gained. The ICERs ranged from US$40,000 to US$85,800 per QALY gained in 1-way sensitivity analyses.ConclusionOur results suggest that the use of spironolactone-patiromer-ACEI may provide clinical benefit and good economic value in patients with NYHA class III-IV HF unable to tolerate spironolactone due to hyperkalemia.",
"Pension expenses, risk, and implications for stock returns",FINANCE RESEARCH LETTERS,Stock return; Pension; Asset pricing; Cross -section returns,"As life expectancy rises, firms' pension expenses for employees rise as well. This study shows that from around the beginning of the current millennium, US firms' annual mean expenditure on their employee pensions has increased substantially. This expense has become a burden on firms and presents a risk for their activity, which is not diversifiable. An increase in the newly suggested measure causes an increase in the average cross-sectional stock returns. This effect is both statistically and economically significant. Moreover, the effect is sustainable for a variety of robustness tests, both in-sample and out-of-sample.",
What Motivates Social Security Claiming Age Intentions? Testing Behaviorally Informed Interventions Alongside Individual Differences,JOURNAL OF MARKETING RESEARCH,consumer financial decision making; Social Security; retirement; experimental methods; behavioral interventions,"Choosing when to claim Social Security Administration (SSA) benefits is an important decision for older Americans' financial health. While previous work has examined heterogeneity in claiming decisions, relatively little research has systematically tested the psychological factors that predict early or delayed SSA claiming or the effectiveness of theory-driven interventions meant to help with the claiming decision. A preregistered experiment and three replications examined the extent to which intended claiming age is a function of theory-driven interventions, individual difference measures, and relevant interactions between interventions and individual differences. The interventions that increased intended claiming age were those that suggest that delayed claiming may be the right choice (i.e., injunctive norm, information about the commonality of regret), those that highlight the financial benefits from delayed claiming (i.e., gains framing, focus on benefits to the future self), and those that guide preference construction through self-reflection (i.e., focus on right-tail longevity, reason generation). In addition, intertemporal discounting, subjective life expectancy, and perceived ownership of SSA benefits predicted intended claiming age. This research advances our understanding of which retirees will decide to claim earlier or later and offers practical insights for policy makers, financial planners, and consumer finance organizations.",
Widowhood and Retirement Timing: Evidence from the Health and Retirement Study,B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,retirement timing; Health and Retirement Study; widowhood; early retirement,"The combination of an increasing life expectancy, low fertility rates, and an early effective retirement age creates a pressure to act for governments and organizations. The pay-as-you-go social security systems of many countries are troubled by the increasing ratio of retirees to working people. In addition, many organizations face difficulties caused by a shrinking workforce and the accompanied shortage of skilled workers. To counteract, it is essential to create an environment in which older workers are encouraged to stay in the workforce. Therefore, it is important to understand which factors influence the retirement timing decision of workers. This study analyzes how widowhood and changes in demographic, health-related, and financial factors lead to changes in retirement plans of Health and Retirement Study (HRS) respondents. I compare respondents' actual retirement age with their retirement plans elicited in the HRS wave prior to retirement. The strongest change in retirement timing is caused by widowhood. Respondents who become widowed retire on average 1.7 years earlier than previously planned. The estimated effect of widowhood goes beyond the deterioration of physical health and mental health. My findings suggest that an intervention in an early stage after widowhood by the employer or by health and social care services can help the widowed employee to overcome the temporary adverse effects of widowhood and to prevent a precipitous retirement decision.",
Evaluating Cost-Effectiveness of Antiretroviral Therapy over Time: A Cohort and Cost-Effectiveness Study,PHARMACOECONOMICS-OPEN,,"ObjectiveTo estimate the costs and cost-effectiveness of introducing highly active antiretroviral therapy (HAART) in Denmark based on real-world evidence for the three treatment eras pre-HAART (1985-1995), early HAART (1996-2005), and late HAART (2006-2017).MethodsWe performed a cohort study using Danish clinical and administrative registries to estimate costs, quality-adjusted life-years (QALYs), and life-years (LY) gained per person living with human immunodeficiency virus (PLHIV) in three treatment eras. The study utilized Markov modeling for a health economic evaluation, which summarized inputs from real-world evidence and estimated the cost-effectiveness in 2017 prices of the introduction of HAART in Denmark. We performed deterministic and probabilistic sensitivity analyses to assess the robustness of the results.ResultsThe total annual costs per PLHIV increased with the introduction of HAART for the index year but decreased in the incremental years and the last year of life. The total lifetime discounted (and undiscounted) cost for an average PLHIV was 91,010 (128,981) in pre-HAART, 103,130 (199,062) in early HAART, and 126,317 (254,964) in late HAART. The estimated incremental cost-effectiveness ratios showed that early HAART was cost-effective compared with pre-HAART with an incremental cost-effectiveness ratio (ICER) of 1378 per QALY, and that late HAART was cost-effective compared with early HAART with an ICER of 7385 per QALY. Sensitivity analyses confirmed cost-effectiveness in all scenarios.ConclusionsThe introduction and implementation of HAART in Danish healthcare was cost-effective, and in some scenarios, even disruptive, i.e., led to both cheaper and more effective care of PLHIV.",
Population Aging and Work Life Duration in Canada,CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,vieillissement demographique; duree de vie au travail; comportement individuel; age de la retraite; cycle de vie; offre de travail,"Population aging has brought concerns that the added years of life are predominantly being spent in retirement, contributing to a labour shortage and pressure on public finances. These concerns, however, usually omit an appropriate account of the changes in labour force participation and hours worked (behavioural components), factors that could be playing toward or against the tides of population aging (structural components) throughout the life cycle. This article estimates work life duration, an expected labour supply that incorporates mortality, labour participation, and workload (hours worked) at each age, and analyzes the work life ratio, the share of life expectancy devoted to working. It also decomposes the changes in work life duration into demographic and behavioural components, thus isolating the contribution of population aging to the change between 1981 and 2016. The results suggest that work life duration has not declined as the population has aged. Instead, we find that between 1981 and 2016, work life duration increased by 4.96 years, whereas its ratio to life expectancy increased by 3.55 percentage points. Labour force participation has been the main driver of these changes, contributing 3.57 years compared with 0.73 and 0.65 years for workload and mortality, respectively.These results bring counterarguments into the ongoing debate in Canada to increase the retirement age in the name of shrinking work life duration to finance increasing life expectancy.",
