Article Title,Source Title,Author Keywords,Abstract,relevance
Predicting career adaptability of fresh graduates through personal factors,EUROPEAN JOURNAL OF TRAINING AND DEVELOPMENT,Social support; Career adaptability; Self-esteem; Conscientiousness; Spiritual intelligence; Fresh graduate,"Purpose The purpose of this paper is to determine the contribution of personal factors towards career adaptability among fresh graduates who had been employed for less than two years. This cohort is considered as entry-level employees in organisations. Several dimensions of personal factors focussed in this study were self-esteem, conscientiousness, spiritual intelligence and social support. Design/methodology/approach This study used a quantitative approach using a cross-sectional survey. This study sample comprised fresh graduate employees (n = 423) from four Malaysian public universities. Findings The regression model fitted the data; the personal factors significantly predicted fresh graduates' career adaptability, F (4,418) = 31.982, p < 0.001. Conscientiousness showed the highest contribution compared to other variables, with social support being the lowest. Practical implications Owing to challenges faced by fresh graduates as entry-level employees, continuous career adaptation in the working environment is crucial for achieving satisfaction and success in life. All stakeholders, especially in higher education institutions, play an important role in inculcating the requisite personal traits in undergraduates to enhance their career adaptability upon joining the job market. Originality/value This study was conducted with fresh graduates as entry-level employees in Malaysia. It is hoped that the findings of this study would provide a better understanding of the impact of personal factors on career adaptability of fresh graduates in Malaysia so that the stakeholders involved could act accordingly to help fresh graduates enter the job market with the confidence to adapt to changes at the workplace.",
EFFECT OF AGEING ON THE OWNERSHIP OF DURABLE GOODS,SCOTTISH JOURNAL OF POLITICAL ECONOMY,,"I analyse how ageing affects the demand for non-housing durable goods. Based on the English Longitudinal Study of Ageing, individual characteristics, cohort and time effects can explain most of the age variation in the ownership and purchase of durable goods. A life-cycle model is derived to capture the complex relation between ageing and the demand for non-housing durable goods. Decreasing survival probability, deteriorating health and changing preferences are jointly reflected in the age gradient of demand. Simulations indicate that higher chances of survival increase the ownership ratio of the durable items.",
In search of lost leisure: the impact of caregiving on leisure travel,TOURISM MANAGEMENT,leisure travel; family caregivers; older adults; barriers to travel,"One of the fastest growing market segments of the tourism industry over the last two decades is made up of consumers 55 years of age and older. As we enter the new millennium, over 50 million of these mature adults will find themselves on the edge of retirement, equipped with the freedom and financial means to travel, but restricted by a loved one who may become ill or disabled. The purpose of this study was to explore the impact of caregiving on the leisure travel behaviors of family caregivers and their care-recipients. Qualitative data collection and analysis methods were employed. In addition to identifying impediments (physical, social, emotional) to pursuing or maintaining leisure travel for caregivers of older adults, the qualitative analysis yielded other emergent themes such as changes in patterns and types of leisure travel, entitlement, resentment, and anger. Implications and recommendations for researchers and practitioners are included. (C) 2003 Elsevier Ltd. All rights reserved.",
When are cartels stable contracts?,JOURNAL OF LAW & ECONOMICS,,"Why do some industry cartels survive for decades, while others are quickly undermined by price wars and entry? Variation in cartels' longevity can be explained by differences in their costs of self-enforcement and service value to members. Analyzing legal cartel contracts formed under the Webb-Pomerene Export Trade Act, I find that longer-lived cartels tended to export to small buyers, to have wide industry coverage, to operate in periods of stable prices and growing demand, and to sell under side agreements with foreign competitors. Contracts in which the cartel centralized its control through a common sales agency tended to be more stable. However, cartels usually grew less stable with age and when there was a recent and long history of cartelization in the industry. Finally, cartels whose primary rationale was to fix price tended to be particularly unstable, because these contracts invited fringe competition and entry.",
CONFLICT MANAGEMENT STRATEGIES IN FAMILY BUSINESS: A CASE STUDY OF BOSNIA AND HERZEGOVINA,EKONOMSKI VJESNIK,Family businesses; conflict management strategies; knowledge transfer; succession,"Purpose: The aim of this paper is to determine, theoretically and empirically, which strategies are most commonly used to manage conflict situations and to what extent conflict management strategies have an effect on knowledge transfer between owners and successors in family businesses in Bosnia and Herzegovina. This research empirically establishes a link between conflict management strategies and knowledge transfer. Methodology: In addition to theoretical conceptualization, the paper presents quantitative empirical research confirming the validity of the proposed hypothesis. Results: The results of the research show that owners who tend to use the integrating, obliging and compromising conflict management strategies, attach more importance to succession planning and transfer of knowledge and experience to successors. In contrast, dominant leaders are less willing to plan for succession, as they would prefer to retain all the crucial information and decision-making authority and are therefore reluctant to share their knowledge and power. Conclusion: Relevant conflict management strategies can be implemented to help maintain family relationships and ensure business continuity. Learning effective conflict management techniques is important for anyone involved in a family business. Thus, managing conflict is important for the success and longevity of family businesses.",
"Credit, Attention, and Externalities in the Adoption of Energy Efficient Technologies by Low-Income Households",AMERICAN ECONOMIC REVIEW,,"We study an energy efficient charcoal cookstove in an experiment with 1,000 households in Nairobi. We estimate a 39 percent reduction in charcoal spending, which matches engineering estimates, generating a 295 percent annual return. Despite fuel savings of $237 over the stove's two-year lifespan-and $295 in emissions reductions-households are only willing to pay $12. Drawing attention to energy savings does not increase demand. However, a loan more than doubles willingness to pay: credit constraints prevent adoption of privately optimal technologies. Energy efficient technologies could drive sustainable development by slowing greenhouse emisO13, O32, Q54)",
Why has Irish Social Partnership Survived?,BRITISH JOURNAL OF INDUSTRIAL RELATIONS,,"The present system of social partnership in Ireland is in its twentieth year. A range of explanations have been put forward to explain why social partnership has been so durable even though it does not possess the institutional endowments often considered necessary to sustain tripartite industrial relations arrangements. Although these accounts are considered to have merits, this article suggests that they also suffer from a range of weaknesses. The article suggests that the longevity of the social partnership regime is a result of it being part of an unorthodox system of institutional complementarities that triggered a spectacular period of economic and employment growth.",
Optimal consumption and portfolio choice of retirees with longevity risk,JOURNAL OF PENSION ECONOMICS & FINANCE,retirement period; mortality; life time distribution; asset allocation,The question how to optimize consumption and portfolio choice over the life cycle has been widely discussed in the literature so far. In this paper we concentrate on a retiree's optimal consumption and portfolio selection over his remaining years of life. We apply the logistic model of mortality thus modeling the empirically observed increase of mortality during the retirement period. The optimal consumption strategy and portfolio choice are established by reducing the Hamilton-Jacobi-Bellmann equation to the explicit solution of an ordinary differential function (ODF) that includes the mortality rate. A general finding is that the Merton-Samuelson result of constant portfolio choice for a constant mortality is confirmed for arbitrary mortality. The portfolio choice is only influenced by risk and return of assets and the retirees ' risk aversion. To get the specific optimal consumption strategy in a realistic situation the logistic model of mortality has been fitted to the data of the Statistical Yearbook for the Federal Republic of Germany 2006/2008. The optimal initial value for the ODF is obtained by numerical methods. The solution provides a large increase in the ratio of optimal consumption to wealth up to about 92 years followed by a sharp decrease. A bequest motive dampens the magnitudes of the ups and downs of the consumption ratio but does not change the basic shape.,
Seeking Lasting Enjoyment with Limited Money: Financial Constraints Increase Preference for Material Goods over Experiences,JOURNAL OF CONSUMER RESEARCH,financial constraints; discretionary spending; experiences and material goods; longevity; myopia,"Consumers with limited discretionary money face important trade-offs when deciding how to spend it. In the current research, we suggest that feelings of financial constraint increase consumers' concern about the lasting utility of their purchases, which in turn increases their preference for material goods over experiences. The results of seven studies confirm that the consideration of financial constraints shifts consumers' preferences toward material goods (rather than experiences), and that this systematic shift is due to an increased concern about the longevity of the purchase. This preference shift persists even when the material goods are more frivolous than the experiences, indicating that the effect is not driven by an increased desire for sensible and justifiable purchases. However, the shift toward material purchases disappears when the material good is unusually short lived, further implicating concern about longevity as the key driver of the effect. Finally, the consideration of financial constraints increases preference for material purchases even when the potential memories that experiences can provide are made explicitly salient. Together, these results indicate that financially constrained consumers spend their discretionary money on material purchases as a means of securing long-term consumption utility.",
"Investigating Long-Term Technological Competitiveness: Originality, Generality, and Longevity",IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,Industries; Economics; Research and development; Technological innovation; Entrepreneurship; Patents; Productivity; Generality; longevity; originality; technological competitiveness,"The evaluation and international comparison of technological competitiveness has received considerable attention from policymakers over the past decades. Technological competitiveness has been considered a desired outcome of technological innovation, which has become pivotal for a country's economic growth in this era of a global knowledge economy. Government efforts have increasingly shifted toward a long-term perspective of building a solid foundation for continually generating value from technological innovations. This suggests that progress comes in waves, each originating from a major breakthrough or generating potential wide applications. However, little is known regarding the long-term effects of research and development (R&D) on technological competitiveness at the aggregation levels of industries and countries. This article aims to provide an advanced understanding of the term technological competitiveness to enhance its usefulness for the evaluation of country and industry performance and for policy conclusions. This article attempts to propose revised originality, generality, and newly proposed longevity indicators at industry and country levels to evaluate long-term technological competitiveness. Regarding the long-term evaluation of technological competitiveness, this article argues that the originality, generality, and longevity of R&D are features of technological progress that are vital for triggering innovation, and they are becoming increasingly crucial for long-term competitiveness.",
Dependence bounds for the difference of stop-loss payoffs on the difference of two random variables,INSURANCE MATHEMATICS & ECONOMICS,Difference of stop -loss payoffs; Difference of random variables; Dependence bounds; Comonotonicity; Countermonotonicity,"This paper considers the difference of stop-loss payoffs where the underlying is a difference of two random variables. The goal is to study whether the comonotonic and countermonotonic modifications of those two random variables can be used to construct upper and lower bounds for the expected payoff, despite the fact that the payoff function is neither convex nor concave. The answer to the central question of the paper requires studying the crossing points of the cumulative distribution function (cdf) of the original difference with the cdf's of its comonotonic and countermonotonic transforms. The analysis is supplemented with a numerical study of longevity trend bonds, using different mortality models and population data. The numerical study reveals that for these mortality-linked securities the three pairs of cdf's generally have unique pairwise crossing points. Under symmetric copulas, all crossing points can reasonably be approximated by the difference of the marginal medians, but this approximation is not necessarily valid for asymmetric copulas. Nevertheless, extreme dependence structures can give rise to bounds if the layers of the bond are selected to hedge tail risk. Further, the dependence uncertainty spread can be low if the layers are selected to hedge median risk, and, subject to a trade-off, to hedge tail risk as well.(c) 2022 Elsevier B.V. All rights reserved.",
Sustainability performance and social media: an explorative analysis,MEDITARI ACCOUNTANCY RESEARCH,Twitter; Social media; ESG,"Purpose This paper aims to present a deep understanding of how social media affects organisations' sustainability performance, using environmental, social and governance (ESG) factors. Particularly, this paper assumes the existence of a causal relationship between organisations' sustainability performance and the use of their social media profile (i.e. Twitter). Design/methodology/approach The authors used a multivariate regression with an explorative approach. Using Thomson Reuters Eikon, the authors composed a sample of 115 public EU companies with a headquarter in Europe operating in the energy and utilities sectors. The authors collected ESG-related, financial and Twitter-related data covering the period 2016-2019. Findings The study findings emphasise the existence of a statistically significant and positive relationship between social media profiles (i.e. Twitter) and companies' sustainability performance. Findings show that ESG-oriented companies use their Twitter profile more as a tool for achieving a higher level of legitimation rather than for managing their sustainability strategy and related performance. Therefore, social media contribute more to the construction of companies' CSR identity than the management of analytic aspects of sustainability performance. The longevity of companies' profiles is the variable mostly showing a causal relationship not only with the general measure of companies' sustainability performance but also with its pillars and sub-pillars. Originality/value This research is original in showing academics, practitioners and policymakers results on the impact of different modalities of interaction (retweets, replies, likes and quotes) between organisations and stakeholders by using social media on sustainability performance.",
Post global financial crisis multiplex financial network structure investigation for 234 countries,EQUILIBRIUM-QUARTERLY JOURNAL OF ECONOMICS AND ECONOMIC POLICY,multiplex financial network; structure longevity; global financial crisis; re-globalization,"Research background: International capital flows show decreasing trend after each financial crisis as countries become unwilling to invest in risky counterparties. Recent discussions over structural changes within the global financial network suggest that its structure may be still undergoing some changes. Uncovered weaknesses of over -connectedness with unstable unally countries during global financial crisis were further highlighted by recent Covid-19 pandemic. However, previous research suggest that important structural changes happened after global financial crisis. Thus, such situation raises a question whether post global financial crisis multiplex network structure is long-term and is it exhibiting re -globalization pattern as suggested by re -globalization megatrend. Purpose of the article: The main objective of the paper is to assess post global financial crisis multiplex financial network structure longevity and to identify whether it exhibits reglobalization pattern. Methods: Multiplex financial network mapping, network topological analysis and structure longevity methods were employed to evaluate network connectedness, topological structural properties of multiplex financial network and its' structure longevity. 5-layer multiplex financial network was mapped for different types of capital flows for each layer: net direct and portfolio investments in debt, equity and net banking assets for each year in the post global financial crisis period 2009-2020. Each network layer employed bilateral data from up to 234 countries of the world. Next step of research employed a set of network-level measures defining topological features of each network in the period of 2009-2020 in order to capture the trend of structural changes and evidence of re-globalization. The final stage analyzes multiplex financial network structure by layer and country longevity. Findings & value added: Analysis reveals that stock (positions) multiplex financial network aggregate connectedness, i.e., density and value, increased during post- global financial crisis period until Covid-19 pandemic period, thus, suggesting that globalization in terms of stock is continuing. Topological structural properties of multiplex financial network changed as number of strongly and weakly connected countries decreased and more countries became included in network. Longevity analysis of layer and country structure within multiplex financial network reveal that banking and debt investments are increasing since 2018, while equity part is decreasing. Developed countries, i.e., the United Kingdom and Germany, decrease in multiplex financial network structure, while developing, especially from Asia region (i.e., Hong Kong SAR, China and Singapore) increase. Such empirical results support the re-globalization megatrend in terms of investment type and counterparty structure as highlighted by most recent scientific discussion showing that it started early after global financial crisis. Research also uncovers some regional trends of Asia region increasing in investment network structure, while Europe decreasing. As developing countries attract more and more investment and further develop, global cost saving and, thus, returns from global investment into these countries may be decreasing, resulting in lower gain from globalization. Our analysis may facilitate investment strategy decisions by suggesting that even though gains from globalization might be decreasing, instead of localization, countries could follow ally investment strategy to manage the risk of over-dependency from unstable counterparty while preserving globalization wealth.",
What Influences Choice of Business-to-Business Connectivity Platforms?,INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,B2B platforms; electronic invoicing; connectivity platform; choice problem; platform features; conjoint analysis,"Business-to-Business platforms provide connectivity and data exchange services and compete in several dedicated services, such as electronic invoicing (e-invoicing). Thus far, little research has examined the factors that influence firms' choice among competing platforms: Which platform features matter, and in what proportion in the decision maker's choice? To address this gap, we conduct an empirical study and triangulate with past theoretical explanations that have sought to account for the firm's choice. Based on the analysis, we formulate a platform selection model that includes nine features: (1) reach, (2) total cost, (3) usability, (4) ease of system integration, (5) implementation capability, (6) platform support for service improvement, (7) service customization, (8) platform reputation, and (9) long-term sustainability. We apply conjoint analysis using firms' selection data, collected from 282 firms that have recently made a purchase decision among e-invoicing platforms. All features except the vendor's implementation capability are found to significantly influence the platform choice. Two featuresusability and reachdominate the choice and account for nearly 50 percent of the likely outcome. We use cluster analysis to examine the effect of firm size on firms' preferences in platform features. As hypothesized, larger companies prefer interoperability, scale, and network effects, while smaller companies value local use efficiency and ease of use because they are more concerned with usability and cost. Our theoretical and managerial claims concerning platform choice highlight the difficulty of bootstrapping, the role of pricing and cost, the minor importance of implementation-related features, and the impact of longevity during platform contracting.",
The Changing Stakeholder Map of Formula One Grand Prix in Shanghai,EUROPEAN SPORT MANAGEMENT QUARTERLY,Events; auto racing; stakeholder theory; China,"In recent years, Formula One Auto Racing Grand Prix (F1) in Shanghai has been dramatically impacted by the global recession and changes to the local and national political-economic landscape. Due to the short lifespan of the event (from 2004 through 2010), and the drastic changes that have occurred, F1 Shanghai provides a unique case to examine the manner through which the importance of stakeholders in a sport event environment change. Using Mitchell, Agle and Wood's (1997) model, the current study develops two different stakeholder maps of the F1 Shanghai event. In doing so, salience changes precipitated by the turmoil occurring within the industry are assessed. By developing different stakeholder maps in different time periods, event organizers and managers may better understand the dynamics of stakeholder interests and relationships, which will be useful as event managers develop corresponding strategies to cope with stakeholder changes in future events.",
"Warrants, ownership concentration, and market liquidity",MANAGERIAL FINANCE,Warrants; Option exercises; Ownership concentration; Liquidity; Shareholders,"Purpose - Firms issuing equity securities for capital must recognize that this issuance may alter the ownership concentration of the firm. Through this change in ownership structure, the market liquidity of the firm's stock may also change, which has implications for the cost of equity capital and firm value. This paper aims to examine a specific security, the common stock purchase warrant, within this context. It also aims to posit that the decision to issue warrants has important implications for the firm's subsequent ownership structure and market liquidity. Design/methodology/approach - The paper's unique dataset of warrant-issuing firms tracks the warrants from their issue through to their exercise. Based on the study of SEOs by Kothare, the ownership concentration and market liquidity of the underlying stock prior to and following warrant exercises are measured. The paper examines the causal relations between warrant exercises and ownership changes, and between ownership changes and market liquidity. Findings - The paper shows that firms experience a statistically and economically significant decrease in ownership concentration following warrant exercises. Examining the liquidity effects of this change in ownership, it shows that market liquidity increases significantly after the exercise of warrants, consistent with the literature. The decrease in concentration following warrant exercises is experienced exclusively by firm insiders. The paper also finds that outsiders increase their holdings in firms with a high concentration of inside holdings and in firms with a low concentration of outside holdings prior to warrant exercises; that is, they use warrant offerings to increase their influence in the firm. Originality/value - This study is the first to the authors' knowledge that investigates warrants through their entire life span, and the first to examine the effects of warrant exercises on the performance and market liquidity of the firm. The results contribute to securities issuance, ownership, and liquidity literatures.",
Inventory decisions in Dell's supply chain,INTERFACES,"inventory, production : applications; industries : computer, electronic","The Tauber Manufacturing Institute (TMI) is a partnership between the engineering and business schools at the University of Michigan. In the summer of 1999, a TMI team spent 14 weeks at Dell Inc. in Austin, Texas, and developed an inventory model to identify inventory drivers and quantify target levels for inventory in the final stage of Dell's supply chain, the revolvers or supplier logistics centers (SLC). With the information and analysis provided by this model, Dell's regional materials organizations could tactically manage revolver inventory while Dell's worldwide commodity management could partner with suppliers in improvement projects to identify inventory drivers and to reduce inventory. Dell also initiated a pilot program for procurement of XDX (a disguised name for one of the major components of personal computers (PCs)) in the United States to institutionatize the model and promote partnership with suppliers. Based on the model predictions, Dell launched e-commerce and manufacturing initiatives with its suppliers to lower supply-chain-inventory costs by reducing revolver inventory by 40 percent. This reduction would raise the corresponding inventory turns by 67 percent. Net Present Value (NPV) calculations for XDX alone suggest $43 million in potential savings. To ensure project longevity, Dell formed the supply-chain-optimization team and charged it with incorporating the model into a strategic redesign of Dell's business practices and supervising improvement projects the model identified.",
"The Impact of Pharmaceutical Innovation on Premature Mortality, Cancer Mortality, and Hospitalization in Slovenia, 1997-2010",APPLIED HEALTH ECONOMICS AND HEALTH POLICY,,"Background In Slovenia during the period 2000-2010, the number of years of potential life lost before the age of 70 years per 100,000 population under 70 years of age declined 25 %. Objective The aim of this study was to test the hypothesis that pharmaceutical innovation played a key role in reducing premature mortality from all diseases in Slovenia, and to examine the effects of pharmaceutical innovation on the age-standardized number of cancer deaths and on hospitalization from all diseases. Estimates and other data were used to calculate the incremental cost effectiveness of pharmaceutical innovation in Slovenia. Method Longitudinal disease-level data was analyzed to determine whether diseases for which there was greater pharmaceutical innovation-a larger increase in the number of new chemical entities (NCEs) previously launched-had larger declines in premature mortality, the age-standardized number of cancer deaths, and the number of hospital discharges. My methodology controls for the effects of macroeconomic trends and overall changes in the healthcare system. Results Premature mortality from a disease is inversely related to the number of NCEs launched more than 5 years earlier. On average, the introduction of an additional NCE for a disease reduced premature mortality from the disease by 2.4 % 7 years later. The age-standardized number of cancer deaths is inversely related to the number of NCEs launched 1-6 years earlier, conditional on the age-standardized number of new cancer cases diagnosed 0-2 years earlier. On average, the launch of an NCE reduced the number of hospital discharges 1 year later by approximately 1.5 %. Conclusions The estimates imply that approximately two-thirds of the 2000-2010 decline in premature mortality was due to pharmaceutical innovation. If no NCEs had been launched in Slovenia during 1992-2003, the age-standardized number of cancer deaths in 2008 would have been 12.2 % higher. The NCEs launched in Slovenia during 2003-2009 are estimated to have reduced the number of hospital discharges in 2010 by 7 %. If we assume that pharmaceutical expenditure was the only type of expenditure affected by pharmaceutical innovation, the cost per life-year saved was (sic)3,953, which is well below even the lowest estimates of the value of a life-year saved. Moreover, 85 % of the increase in drug expenditure may have been offset by a reduction in hospital expenditure; therefore. the cost per life-year saved may have been only (sic)611.",
The ethics of infinite impact,JOURNAL OF RESPONSIBLE INNOVATION,Impact; innovation; transhumanism; ethics,"Transhumanism, the research program devoted to increasing our physical and mental abilities and lengthening our lifespan, casts light on the term 'responsible innovation'. The goals of the transhumanists strike some as ludicrous, but the space between transhumanist pipedreams and the sober plans of the research community are essentially the same. This implies that talk of 'responsible innovation' is a cheat, for there is nothing responsible, or ethical, about a research culture whose goals are implicitly infinite.",
Leader Development Begins at Home: Overparenting Harms Adolescent Leader Emergence,JOURNAL OF APPLIED PSYCHOLOGY,leader emergence; overparenting; self-esteem; leader self-efficacy; leader development,"There is increasing interest in the early roots and influencing factors of leadership potential from a life span development perspective. This conceptual and empirical work extends traditional approaches focusing on adults in organizational settings. From the perspective of early influences on leader development, the goal of this study was to examine the effects of overparenting on adolescent leader emergence, influencing mechanisms, and sex differences. Students (N = 1,255) from 55 classrooms in 13 junior high schools participated, with additional responses from their parents, peers, and teachers. The results indicated that overparenting is negatively related to adolescent leader emergence as indicated by parent ratings, teacher ratings, and peer nominations in addition to leader role occupancy. The negative effects of overparenting on leader emergence (perceived and actual) were serially mediated by self-esteem and leader self-efficacy. In addition, sex difference analysis revealed that male adolescents received more overparenting and showed less leader emergence (perceived and actual) than female adolescents. Female adolescents' self-esteem was more likely to be negatively related to overparenting, and female adolescents' leader emergence (perceived and actual) was more strongly related to their leader self-efficacy when compared with male adolescents. Implications for life span leader development theory, for youth and adult leadership development practices, and for parenting practices on future generations are discussed.",
"The human development index: a response to Klugman, Rodriguez and Choi",JOURNAL OF ECONOMIC INEQUALITY,Human development; Tradeoffs; Weights; Longevity; Schooling,"Each year, the mass media and many governments look keenly at the country rankings by the Human Development Index (HDI), as published in the annual Human Development Reports (HDR). Klugman, Rodriguez and Choi (KRC) were members of the team that produced the 20th anniversary edition of the HDR (United Nations Development Programme (UNDP), 2010) which introduced a new version of this popular index. However, Ravallion (2010) argued that the new HDI has a number of undesirable features, some shared with the old index and some new. This note responds to the points made by KRC (J Econ Inequality 9(2):249-288, 2011) in their defense of the new HDI.(1).",
A Dynamic Factor Approach to Mortality Modeling,JOURNAL OF FORECASTING,mortality; dynamic factor models; forecasting,"Longevity risk has become one of the major risks facing the insurance and pensions markets globally. The trade in longevity risk is underpinned by accurate forecasting of mortality rates. Using techniques from macroeconomic forecasting we propose a dynamic factor model of mortality that fits and forecasts age-specific mortality rates parsimoniously. We compare the forecasting quality of this model against the Lee-Carter model and its variants. Our results show the dynamic factor model generally provides superior forecasts when applied to international mortality data. We also show that existing multifactorial models have superior fit but their forecasting performance worsens as more factors are added. The dynamic factor approach used here can potentially be further improved upon by applying an appropriate stopping rule for the number of static and dynamic factors. Copyright (c) 2013 John Wiley & Sons, Ltd.",
Mortality improvement by socio-economic circumstances in England (1982 to 2006),BRITISH ACTUARIAL JOURNAL,Socio-Economic Circumstance; Mortality Improvement Rates; Longevity Risk; Basis Risk,"Assessing longevity risk is crucial to the financial management of annuities and longevity-related financial instruments. Actuaries have been using socio-economic circumstances (SEC) of individuals estimated through postcodes, pension size and occupation to price annuities for prospective customers. Differences in mortality rates of people in different SEC have been discussed extensively but less is known about how their mortality rates have changed over time. A lack of regular, consistent and credible mortality data for people in different SEC has hampered the study of historical mortality trends. This in turn has made forecasting a greater challenge. To address some of these data issues, we have obtained mortality and population data between 1981 and 2007 for England, divided into SEC quintiles (measured by the relative deprivation of the area of residence according to the Index of Multiple Deprivation (IMD) 2007). Using the data, we have analysed the mortality trends by SEC. These findings can provide insight into mortality improvement for people in different SEC. This can contribute to commercial decisions for annuity businesses, reinsurance and longevity swaps.",
SURVIVAL AND LONGEVITY OF FAMILY BUSINESSES: A CASE OF EASTERN BUSINESS CULTURE,E & M EKONOMIE A MANAGEMENT,Family business; family involvement; business survival; business success; eastern business culture; western business culture; Sri Lanka,"The main objective of this study is to understand how Sri Lankan family businesses' survive over the long term, across generations. Even though previous studies on Western business culture have adequately conceptualized operations family businesses, a huge knowledge vacuum and/or several inconsistencies are shown in Eastern business culture in case of survival and longevity of family businesses. Studies from both cultures commonly affirm that family businesses outperform over non-family firms in the short run. Similarly, most studies from Western business culture assure that family businesses are suffering from business survival problem in the long run. Contradicting to this research finding emerged in Western business culture, most Sri Lankan family businesses are reported surviving over generation from the inception. As a result, a requirement of an academic analysis of Sri Lanka family businesses has emerged. Twenty two interviews from twelve family businesses (cases) facilitated an understanding of how family members become dedicated partners of the business and contribute to its survival. Respondents were either managers or owners. Purposive sampling techniques facilitated to select respondents from respective cases. Interviews indicated that education and business challenges motivate family members to remain strongly engaged in the business, as do familial bonds and the subsequent tacit knowledge. Further, respondents revealed the interdependence of business success and the personal success of family members. Therefore, family businesses in the context of Sri Lankan business culture have experienced above-average durations of business survival in comparison to Western business culture.",
Spillover of cause-specific longevity interventions: an independent mortality risk model,EUROPEAN JOURNAL OF HEALTH ECONOMICS,mortality; longevity; spillover; intervention,"As an alternative to the competing mortality risk model, this paper presents an independent mortality risk model in which the complementarity among various longevity investments is less obvious. In studying spillover effects of cause-specific longevity interventions, it distinguishes between two types of such interventions: cause-specific price reductions and cause-specific direct provisions. It finds that a cause-specific direct provision always has a positive spillover effect on longevity investments for other causes, but a cause-specific price reduction may have a negative spillover effect due to a substitution effect.",
Labor Markets,JOURNAL OF POLITICAL ECONOMY,,,
Effect of the COVID-19 frailty heterogeneity on the future evolution of mortality by stratified weighting,JOURNAL OF DEMOGRAPHIC ECONOMICS,Frailty; mortality modeling; post-stratification,"The starting point of our research is the inadequacy of assuming, in the construction of a model of mortality, that frailty is constant for the individuals comprising a demographic population. This assumption is implicitly made by standard life table techniques. The substantial differences in the individual susceptibility to specific causes of death lead to heterogeneity in frailty, and this can have a material effect on mortality models and projections-specifically a bias due to the underestimation of longevity improvements. Given these considerations, in order to overcome the misrepresentation of the future mortality evolution, we develop a stochastic model based on a stratification weighting mechanism, which takes into account heterogeneity in frailty. Furthermore, the stratified stochastic model has been adapted also to capture COVID-19 frailty heterogeneity, that is a frailty worsening due to the COVID-19 virus. Based on different frailty levels characterizing a population, which affect mortality differentials, the analysis allows for forecasting the temporary excess of deaths by the stratification schemes in a stochastic environment.",
The Age-Related Effect of Job Autonomy on Depressive Symptoms Through Selective Optimization With Compensation: A Two-Wave Panel Study,WORK AGING AND RETIREMENT,,"Selective optimization with compensation (SOC) is an effective behavioral strategy for coping with age-related changes across the work lifespan. However, the role of work-related determinants as well as their interplay with employees' SOC use and health over time is yet unclear. Our two-wave panel study among N = 335 nurses investigated job autonomy as an antecedent of SOC at work and tested further whether SOC is effective for decreasing depressive symptoms over time. Moreover, we examined the moderating effects of age on these associations. Results of our two-wave cross-lagged panel analyses show that in older employees, job autonomy is more conducive to the use of SOC behaviors at work. Furthermore, employees' SOC use is efficient for decreasing depressive symptoms over time. Finally, we observed a significant conditional indirect effect of job autonomy on depressive symptoms through SOC for older employees, but not for younger employees. Our findings contribute to a better understanding of the underlying dynamics of job design across the work lifespan and corroborate the importance of the SOC model for lifespan perspectives on occupational health research and practice.",
Social advocacy: a conceptual model to extend post-intervention effectiveness,JOURNAL OF STRATEGIC MARKETING,Social programs; behaviour change; advocacy; interventions,"Commercial marketing literature highlights benefits from brand advocates who recruit and promote in the interest of the commercial entity. However, a similar focus is lacking on how advocacy can extend the effectiveness of social change initiatives. We utilise a case study to demonstrate the benefit of social advocacy and its impact on behaviour change, and thereby propose an advocacy model. To develop this conceptual model, we discuss several key areas; behaviour change and advocacy, advocate identification, and how to influence advocacy within communities and individuals. This research provides a guiding framework for practitioners to develop programs and interventions with advocacy triggers and strategies to enhance the longevity and effectiveness of social change programs through participant-based advocacy. Thus, giving intervention programs in a variety of organisational structures e.g. non-profit, corporate, government etc. a specific model to increase the effectiveness of social programs. Our paper extends behaviour change literature by leveraging social marketing concepts to modify and extend the transtheoretical model.",
"Why did they not get married? Biological, economic and family determinants of celibacy in rural Spain (1785-2010)",INVESTIGACIONES DE HISTORIA ECONOMICA,Singlehood; Celibacy determinants; Behaviour; Rural,"The aim of this article is to analyze the determinants of celibacy at 45 years of age in the generations born between 1785 and 1965. Men and women will be analyzed separately, based on individual variables, such as family, economic, nutritional, physical and behavioural factors. To do this we will divide the period into two sub-periods, one pre-transitional (born between 1785 and 1900) and another transitional and post-transitional (born between 1900 and 1965). The microdata for the analysis comes from nine rural municipalities of the region of Aragon, in north-eastern Spain. The results will highlight the influence of the family, economic, nutritional and physical contexts on the marital status at the age of 45. (C) 2018 Asociacion Espaflola de Historia Economica. Published by Elsevier Espafia, S.L.U. All rights reserved.",
